,HVAC Heating Type,ASHRAE IECC Climate Zone 2004,Vintage,Geometry Building Type RECS,Heating Fuel,Windows,Water Heater Fuel,HVAC Cooling Type,HVAC Heating Type And Fuel,Infiltration,City
724,Ducted Heating,5A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"IN, Indianapolis City Balance"
725,Ducted Heat Pump,5A,2000s,Multi-Family with 5+ Units,Electricity,"Double, Clear, Metal, Air",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"IL, Chicago"
729,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,20 ACH50,"CA, Long Beach"
731,Ducted Heating,5A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Shared Heating,20 ACH50,"NY, Buffalo"
732,Ducted Heating,3A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,4 ACH50,"TX, Fort Worth"
734,Non-Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Boiler,20 ACH50,"PA, Philadelphia"
736,Ducted Heating,4A,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"KS, Overland Park"
737,Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Shared Heating,50 ACH50,"NY, New York"
738,Ducted Heating,2A,2000s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"FL, The Villages"
739,Ducted Heating,1A,1950s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Central AC,Electricity Electric Furnace,40 ACH50,"FL, Fort Lauderdale"
742,Non-Ducted Heating,2A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,20 ACH50,"TX, San Antonio"
743,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"CA, Palm Springs"
744,Ducted Heating,4C,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,20 ACH50,"WA, Marysville"
745,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"IN, Indianapolis City Balance"
747,Non-Ducted Heating,4A,1970s,Multi-Family with 5+ Units,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Boiler,20 ACH50,"NY, New York"
748,Non-Ducted Heating,2A,1970s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Wall Furnace,25 ACH50,"FL, Tallahassee"
749,Ducted Heat Pump,4A,1950s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Heat Pump,Electricity ASHP,25 ACH50,"TN, Chattanooga"
750,Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,40 ACH50,"NY, New York"
754,Ducted Heating,2A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"TX, Galveston"
757,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Boiler,20 ACH50,"KY, Louisville Jefferson County Metro Government Balance"
758,Ducted Heat Pump,2A,1980s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"FL, Jupiter"
759,Non-Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Fuel Boiler,10 ACH50,"CA, Pasadena"
761,Ducted Heating,3C,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CA, Sunnyvale"
762,Ducted Heating,4B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,6 ACH50,"AZ, Prescott"
763,Ducted Heating,4A,1980s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,15 ACH50,"NC, Raleigh"
764,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"RI, Pawtucket"
765,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Whittier"
766,Ducted Heating,5B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"UT, Millcreek"
767,Ducted Heating,3A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"OK, Oklahoma City"
770,Ducted Heating,2A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, Brandon"
774,Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Triple, Low-E, Non-metal, Air, L-Gain",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"MD, Bethesda"
777,Ducted Heating,4C,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"WA, Seattle"
779,Ducted Heating,5A,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"IL, Bolingbrook"
781,Ducted Heating,2A,1950s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Electricity Electric Furnace,20 ACH50,"FL, Jacksonville"
782,Ducted Heating,4A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,40 ACH50,"KY, Louisville Jefferson County Metro Government Balance"
784,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,30 ACH50,"OH, Dayton"
785,Non-Ducted Heating,5A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Shared Heating,20 ACH50,"CT, Hartford"
786,Ducted Heating,1A,1990s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"FL, Pembroke Pines"
787,Ducted Heating,6A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,30 ACH50,"NY, Utica"
788,Non-Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Boiler,30 ACH50,"NJ, Newark"
789,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,20 ACH50,"CT, Stamford"
790,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,10 ACH50,"NY, Cheektowaga"
791,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"CA, Los Angeles"
792,Ducted Heat Pump,4A,1980s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Heat Pump,Electricity ASHP,10 ACH50,"VA, Virginia Beach"
793,Ducted Heating,2B,1990s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,Central AC,Electricity Electric Furnace,5 ACH50,"AZ, Scottsdale"
794,Ducted Heating,6B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"MT, Bozeman"
800,Ducted Heating,2A,1990s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,20 ACH50,"FL, Town N Country"
801,Ducted Heating,6A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MN, Coon Rapids"
803,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,25 ACH50,"OH, Akron"
804,Ducted Heating,5B,1970s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CO, Arvada"
805,Ducted Heating,4A,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,10 ACH50,"NC, High Point"
806,Ducted Heating,4C,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Room AC,Natural Gas Fuel Furnace,20 ACH50,"WA, Seattle"
807,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"OH, Columbus"
808,Ducted Heating,4A,1960s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"MO, Independence"
812,Ducted Heating,2A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"TX, Killeen"
813,Ducted Heat Pump,2A,2000s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,7 ACH50,"FL, University"
814,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,3 ACH50,"CA, Stockton"
817,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,3 ACH50,"IN, Muncie"
818,Ducted Heating,4A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"NC, Greensboro"
819,Ducted Heating,2B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,4 ACH50,"AZ, Tucson"
820,Non-Ducted Heating,3A,1980s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"TX, Dallas"
821,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,2 ACH50,"NV, Sunrise Manor"
822,Ducted Heating,3C,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CA, Santa Rosa"
823,Ducted Heating,5A,<1940,Multi-Family with 5+ Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Shared Heating,20 ACH50,"IL, Chicago"
824,Ducted Heating,5B,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Furnace,20 ACH50,"CO, Denver"
826,Ducted Heating,5A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Shared Heating,15 ACH50,"RI, Providence"
827,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Furnace,20 ACH50,"IA, Des Moines"
828,Non-Ducted Heating,5B,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,2 ACH50,"ID, Boise City"
829,Ducted Heating,3A,1960s,Single-Family Detached,Electricity,"Single, Clear, Metal",Natural Gas,Central AC,Electricity Electric Furnace,20 ACH50,"SC, Columbia"
830,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"OH, Columbus"
836,Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"OH, Cincinnati"
837,Ducted Heating,3A,2000s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,Central AC,Electricity Electric Furnace,10 ACH50,"NC, Jacksonville"
838,Ducted Heating,2A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"LA, Metairie"
841,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Boiler,15 ACH50,"MI, Detroit"
842,Ducted Heating,2A,2000s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,8 ACH50,"TX, League City"
843,Non-Ducted Heating,4A,1950s,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,30 ACH50,"NY, New York"
844,Ducted Heating,3A,1970s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,30 ACH50,"TX, Arlington"
846,Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"MO, Kansas City"
847,Ducted Heating,5B,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CO, Denver"
850,Ducted Heating,2A,2000s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Central AC,Electricity Electric Furnace,6 ACH50,"FL, Lakeland"
853,Non-Ducted Heating,3A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,20 ACH50,"TN, Memphis"
854,Ducted Heating,3A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Natural Gas Fuel Furnace,10 ACH50,"NC, Concord"
855,Non-Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Boiler,15 ACH50,"DC, Washington"
858,Ducted Heating,4C,2010s,Multi-Family with 5+ Units,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,None,Electricity Electric Furnace,15 ACH50,"WA, Seattle"
859,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Room AC,Natural Gas Fuel Boiler,40 ACH50,"MI, Lansing"
861,Non-Ducted Heating,3A,1970s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Boiler,20 ACH50,"OK, Norman"
863,Ducted Heating,3A,2000s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,Central AC,Electricity Electric Furnace,15 ACH50,"NC, Greenville"
865,Non-Ducted Heating,4C,1970s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"OR, Gresham"
866,Ducted Heating,4A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"KS, Olathe"
868,Ducted Heating,5A,<1940,Single-Family Attached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,30 ACH50,"PA, Reading"
869,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,4 ACH50,"NY, Schenectady"
871,Ducted Heating,3C,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"CA, Fremont"
872,Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,25 ACH50,"NJ, Newark"
873,Ducted Heating,2A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"LA, New Orleans"
874,Non-Ducted Heating,3B,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Boiler,15 ACH50,"CA, Los Angeles"
876,Non-Ducted Heating,5B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CO, Denver"
878,Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"PA, Philadelphia"
879,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Abilene"
880,Ducted Heat Pump,2A,1980s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,Heat Pump,Electricity ASHP,30 ACH50,"FL, Jacksonville"
881,Non-Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CA, San Diego"
882,Ducted Heating,6A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"MN, Rochester"
883,Ducted Heating,3A,2000s,Multi-Family with 5+ Units,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Shared Heating,15 ACH50,"GA, Atlanta"
886,Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"AL, Tuscaloosa"
887,Ducted Heating,3B,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Tustin"
888,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"MI, Wyoming"
889,Ducted Heating,2A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,7 ACH50,"TX, Austin"
890,Non-Ducted Heating,4A,1950s,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Shared Heating,50 ACH50,"NY, Yonkers"
892,Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal, Exterior Clear Storm",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"TN, Nashville-Davidson Metropolitan Government Balance"
894,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"OH, Cleveland"
895,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,50 ACH50,"MA, Lawrence"
897,Ducted Heating,6A,<1940,Single-Family Detached,Fuel Oil,"Double, Clear, Non-metal, Air",Fuel Oil,None,Fuel Oil Fuel Furnace,15 ACH50,"ME, Portland"
898,Ducted Heat Pump,4A,2000s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,Heat Pump,Electricity ASHP,20 ACH50,"TN, Murfreesboro"
899,Ducted Heating,2B,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"AZ, Scottsdale"
900,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Furnace,30 ACH50,"IL, Evanston"
901,Ducted Heat Pump,4A,2000s,Single-Family Detached,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Heat Pump,Electricity ASHP,10 ACH50,"TN, Johnson City"
902,Non-Ducted Heating,4A,1960s,Multi-Family with 5+ Units,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Shared Heating,25 ACH50,"NY, New York"
903,Non-Ducted Heating,3A,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,30 ACH50,"GA, Augusta-Richmond County Consolidated Government Balance"
904,Non-Ducted Heating,7A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Electricity,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"ND, Minot"
908,Ducted Heating,3A,2000s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Electricity,Central AC,Electricity Electric Furnace,4 ACH50,"GA, Warner Robins"
911,Ducted Heating,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Central AC,Electricity Electric Furnace,50 ACH50,"FL, Jacksonville"
912,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"IN, Evansville"
913,Non-Ducted Heating,2A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,25 ACH50,"TX, Port Arthur"
917,Non-Ducted Heating,4A,<1940,Single-Family Attached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,40 ACH50,"PA, Philadelphia"
919,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Electricity,Central AC,Natural Gas Fuel Furnace,20 ACH50,"NC, Charlotte"
920,Ducted Heating,3B,1980s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"CA, Hesperia"
924,Ducted Heating,4C,1990s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Fuel Furnace,15 ACH50,"WA, Bellingham"
925,Non-Ducted Heating,4B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"NM, Albuquerque"
928,Ducted Heating,3A,1970s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,20 ACH50,"LA, Shreveport"
929,Ducted Heating,5A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"MI, Westland"
930,Ducted Heating,4C,1960s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"WA, Bellevue"
931,Ducted Heating,5A,1950s,Single-Family Detached,Fuel Oil,"Double, Low-E, Non-metal, Air, M-Gain",Fuel Oil,None,Fuel Oil Fuel Furnace,25 ACH50,"RI, Warwick"
932,Non-Ducted Heating,4A,1960s,Multi-Family with 5+ Units,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,25 ACH50,"NY, New York"
933,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Room AC,Natural Gas Fuel Wall/Floor Furnace,30 ACH50,"KS, Kansas City"
935,Non-Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,50 ACH50,"NY, New York"
936,Ducted Heating,4B,1950s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"NM, Albuquerque"
938,Ducted Heat Pump,2A,1960s,Single-Family Detached,Electricity,"Single, Clear, Metal",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"FL, Fort Myers"
939,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"CA, Los Angeles"
940,Non-Ducted Heating,5A,<1940,Multi-Family with 5+ Units,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Room AC,Natural Gas Shared Heating,25 ACH50,"IL, Chicago"
941,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,25 ACH50,"IA, Davenport"
942,Ducted Heating,5A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Natural Gas,Central AC,Natural Gas Fuel Furnace,5 ACH50,"NE, Lincoln"
943,Ducted Heating,5B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Natural Gas Fuel Furnace,6 ACH50,"CO, Loveland"
944,Non-Ducted Heating,4A,2000s,Multi-Family with 5+ Units,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Shared Heating,8 ACH50,"NJ, Hoboken"
945,Ducted Heating,4A,<1940,Multi-Family with 2 - 4 Units,Natural Gas,"Single, Clear, Non-metal",Electricity,Room AC,Natural Gas Fuel Furnace,20 ACH50,"NJ, Bayonne"
946,Ducted Heating,4A,2000s,Multi-Family with 5+ Units,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Central AC,Electricity Electric Furnace,20 ACH50,"VA, Arlington"
947,Ducted Heating,4A,1990s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,Central AC,Electricity Electric Furnace,8 ACH50,"MD, Waldorf"
